minute,hour,concurrent_compactions
0,0.0000,31
1,0.0167,30
2,0.0333,31
3,0.0500,27
4,0.0667,27
5,0.0833,22
6,0.1000,21
7,0.1167,21
8,0.1333,25
9,0.1500,17
10,0.1667,18
11,0.1833,19
12,0.2000,20
13,0.2167,20
14,0.2333,19
15,0.2500,21
16,0.2667,23
17,0.2833,18
18,0.3000,20
19,0.3167,21
20,0.3333,18
21,0.3500,24
22,0.3667,21
23,0.3833,20
24,0.4000,19
25,0.4167,19
26,0.4333,19
27,0.4500,22
28,0.4667,20
29,0.4833,21
30,0.5000,29
31,0.5167,24
32,0.5333,28
33,0.5500,29
34,0.5667,28
35,0.5833,23
36,0.6000,26
37,0.6167,29
38,0.6333,26
39,0.6500,32
40,0.6667,23
41,0.6833,27
42,0.7000,25
43,0.7167,27
44,0.7333,33
45,0.7500,29
46,0.7667,27
47,0.7833,27
48,0.8000,27
49,0.8167,28
50,0.8333,32
51,0.8500,26
52,0.8667,33
53,0.8833,29
54,0.9000,25
55,0.9167,27
56,0.9333,30
57,0.9500,31
58,0.9667,34
59,0.9833,34
60,1.0000,40
61,1.0167,35
62,1.0333,31
63,1.0500,31
64,1.0667,31
65,1.0833,34
66,1.1000,33
67,1.1167,25
68,1.1333,30
69,1.1500,31
70,1.1667,31
71,1.1833,26
72,1.2000,29
73,1.2167,29
74,1.2333,32
75,1.2500,24
76,1.2667,28
77,1.2833,30
78,1.3000,25
79,1.3167,28
80,1.3333,31
81,1.3500,22
82,1.3667,27
83,1.3833,27
84,1.4000,24
85,1.4167,29
86,1.4333,23
87,1.4500,24
88,1.4667,25
89,1.4833,25
90,1.5000,24
91,1.5167,26
92,1.5333,22
93,1.5500,26
94,1.5667,24
95,1.5833,30
96,1.6000,25
97,1.6167,26
98,1.6333,25
99,1.6500,24
100,1.6667,27
101,1.6833,28
102,1.7000,26
103,1.7167,27
104,1.7333,24
105,1.7500,25
106,1.7667,29
107,1.7833,34
108,1.8000,31
109,1.8167,27
110,1.8333,27
111,1.8500,26
112,1.8667,26
113,1.8833,26
114,1.9000,24
115,1.9167,28
116,1.9333,29
117,1.9500,23
118,1.9667,27
119,1.9833,26
120,2.0000,27
121,2.0167,26
122,2.0333,30
123,2.0500,27
124,2.0667,26
125,2.0833,25
126,2.1000,24
127,2.1167,26
128,2.1333,23
129,2.1500,26
130,2.1667,26
131,2.1833,24
132,2.2000,26
133,2.2167,24
134,2.2333,28
135,2.2500,23
136,2.2667,26
137,2.2833,25
138,2.3000,24
139,2.3167,25
140,2.3333,27
141,2.3500,26
142,2.3667,25
143,2.3833,25
144,2.4000,23
145,2.4167,26
146,2.4333,24
147,2.4500,25
148,2.4667,25
149,2.4833,23
150,2.5000,26
151,2.5167,28
152,2.5333,25
153,2.5500,28
154,2.5667,23
155,2.5833,24
156,2.6000,24
157,2.6167,28
158,2.6333,21
159,2.6500,26
160,2.6667,24
161,2.6833,27
162,2.7000,25
163,2.7167,27
164,2.7333,28
165,2.7500,31
166,2.7667,32
167,2.7833,31
168,2.8000,30
169,2.8167,31
170,2.8333,32
171,2.8500,30
172,2.8667,33
173,2.8833,31
174,2.9000,30
175,2.9167,32
176,2.9333,33
177,2.9500,29
178,2.9667,30
179,2.9833,30
180,3.0000,34
181,3.0167,30
182,3.0333,31
183,3.0500,31
184,3.0667,32
185,3.0833,28
186,3.1000,33
187,3.1167,31
188,3.1333,33
189,3.1500,30
190,3.1667,31
191,3.1833,30
192,3.2000,31
193,3.2167,31
194,3.2333,30
195,3.2500,36
196,3.2667,27
197,3.2833,33
198,3.3000,26
199,3.3167,36
200,3.3333,29
201,3.3500,29
202,3.3667,36
203,3.3833,29
204,3.4000,31
205,3.4167,25
206,3.4333,34
207,3.4500,31
208,3.4667,31
209,3.4833,31
210,3.5000,32
211,3.5167,28
212,3.5333,32
213,3.5500,30
214,3.5667,31
215,3.5833,30
216,3.6000,31
217,3.6167,33
218,3.6333,28
219,3.6500,28
220,3.6667,32
221,3.6833,29
222,3.7000,30
223,3.7167,32
224,3.7333,30
225,3.7500,29
226,3.7667,30
227,3.7833,33
228,3.8000,32
229,3.8167,29
230,3.8333,29
231,3.8500,31
232,3.8667,30
233,3.8833,30
234,3.9000,31
235,3.9167,31
236,3.9333,31
237,3.9500,31
238,3.9667,31
239,3.9833,34
240,4.0000,28
241,4.0167,32
242,4.0333,31
243,4.0500,37
244,4.0667,32
245,4.0833,35
246,4.1000,31
247,4.1167,33
248,4.1333,27
249,4.1500,29
250,4.1667,29
251,4.1833,32
252,4.2000,29
253,4.2167,33
254,4.2333,30
255,4.2500,33
256,4.2667,26
257,4.2833,35
258,4.3000,28
259,4.3167,29
260,4.3333,36
261,4.3500,28
262,4.3667,36
263,4.3833,30
264,4.4000,35
265,4.4167,29
266,4.4333,37
267,4.4500,27
268,4.4667,32
269,4.4833,28
270,4.5000,30
271,4.5167,27
272,4.5333,32
273,4.5500,29
