minute,hour,level,seconds
0,0.0000,L1,36.592949
0,0.0000,L2,22.221236
0,0.0000,L3,0.000000
0,0.0000,L4,0.000000
0,0.0000,L5,0.000000
1,0.0167,L1,32.658001
1,0.0167,L2,23.665318
1,0.0167,L3,0.000000
1,0.0167,L4,0.000000
1,0.0167,L5,0.000000
2,0.0333,L1,36.563902
2,0.0333,L2,24.909282
2,0.0333,L3,0.000000
2,0.0333,L4,0.000000
2,0.0333,L5,0.000000
3,0.0500,L1,19.673713
3,0.0500,L2,29.853148
3,0.0500,L3,0.000000
3,0.0500,L4,0.000000
3,0.0500,L5,0.000000
4,0.0667,L1,35.368860
4,0.0667,L2,30.776022
4,0.0667,L3,0.000000
4,0.0667,L4,0.000000
4,0.0667,L5,0.000000
5,0.0833,L1,25.784134
5,0.0833,L2,33.164051
5,0.0833,L3,0.000000
5,0.0833,L4,0.000000
5,0.0833,L5,0.000000
6,0.1000,L1,25.518393
6,0.1000,L2,33.910654
6,0.1000,L3,0.000000
6,0.1000,L4,0.000000
6,0.1000,L5,0.000000
7,0.1167,L1,12.699017
7,0.1167,L2,35.095326
7,0.1167,L3,0.000000
7,0.1167,L4,0.000000
7,0.1167,L5,0.000000
8,0.1333,L1,25.893848
8,0.1333,L2,39.566363
8,0.1333,L3,0.000000
8,0.1333,L4,0.000000
8,0.1333,L5,0.000000
9,0.1500,L1,26.726070
9,0.1500,L2,33.969547
9,0.1500,L3,0.000000
9,0.1500,L4,0.000000
9,0.1500,L5,0.000000
10,0.1667,L1,13.156483
10,0.1667,L2,44.167982
10,0.1667,L3,0.000000
10,0.1667,L4,0.000000
10,0.1667,L5,0.000000
11,0.1833,L1,26.403041
11,0.1833,L2,34.425394
11,0.1833,L3,0.000000
11,0.1833,L4,0.000000
11,0.1833,L5,0.000000
12,0.2000,L1,13.034306
12,0.2000,L2,43.440080
12,0.2000,L3,0.000000
12,0.2000,L4,0.000000
12,0.2000,L5,0.000000
13,0.2167,L1,26.202847
13,0.2167,L2,34.034977
13,0.2167,L3,0.000000
13,0.2167,L4,0.000000
13,0.2167,L5,0.000000
14,0.2333,L1,25.524924
14,0.2333,L2,32.443260
14,0.2333,L3,0.000000
14,0.2333,L4,0.000000
14,0.2333,L5,0.000000
15,0.2500,L1,13.242091
15,0.2500,L2,39.083404
15,0.2500,L3,0.000000
15,0.2500,L4,0.000000
15,0.2500,L5,0.000000
16,0.2667,L1,25.899531
16,0.2667,L2,39.574842
16,0.2667,L3,0.000000
16,0.2667,L4,0.000000
16,0.2667,L5,0.000000
17,0.2833,L1,28.072993
17,0.2833,L2,29.092532
17,0.2833,L3,0.000000
17,0.2833,L4,0.000000
17,0.2833,L5,0.000000
18,0.3000,L1,12.958800
18,0.3000,L2,35.387089
18,0.3000,L3,0.000000
18,0.3000,L4,0.000000
18,0.3000,L5,0.000000
19,0.3167,L1,26.252001
19,0.3167,L2,43.253524
19,0.3167,L3,0.000000
19,0.3167,L4,0.000000
19,0.3167,L5,0.000000
20,0.3333,L1,26.769116
20,0.3333,L2,32.602587
20,0.3333,L3,0.000000
20,0.3333,L4,0.000000
20,0.3333,L5,0.000000
21,0.3500,L1,12.910743
21,0.3500,L2,43.136541
21,0.3500,L3,0.000000
21,0.3500,L4,0.000000
21,0.3500,L5,0.000000
22,0.3667,L1,26.074868
22,0.3667,L2,34.257513
22,0.3667,L3,0.000000
22,0.3667,L4,0.000000
22,0.3667,L5,0.000000
23,0.3833,L1,26.280279
23,0.3833,L2,31.009920
23,0.3833,L3,0.000000
23,0.3833,L4,0.000000
23,0.3833,L5,0.000000
24,0.4000,L1,14.005172
24,0.4000,L2,43.649049
24,0.4000,L3,0.000000
24,0.4000,L4,0.000000
24,0.4000,L5,0.000000
25,0.4167,L1,27.082324
25,0.4167,L2,33.761649
25,0.4167,L3,0.000000
25,0.4167,L4,0.000000
25,0.4167,L5,0.000000
26,0.4333,L1,12.806880
26,0.4333,L2,40.061748
26,0.4333,L3,0.000000
26,0.4333,L4,0.000000
26,0.4333,L5,0.000000
27,0.4500,L1,26.019156
27,0.4500,L2,36.702401
27,0.4500,L3,0.000000
27,0.4500,L4,0.000000
27,0.4500,L5,0.000000
28,0.4667,L1,26.820348
28,0.4667,L2,29.667781
28,0.4667,L3,2.226654
28,0.4667,L4,0.000000
28,0.4667,L5,0.000000
29,0.4833,L1,13.861925
29,0.4833,L2,43.531875
29,0.4833,L3,1.941544
29,0.4833,L4,0.000000
29,0.4833,L5,0.000000
30,0.5000,L1,14.108864
30,0.5000,L2,32.192380
30,0.5000,L3,12.389841
30,0.5000,L4,0.000000
