minute,hour,level,read_mb,write_mb
0,0.0000,L0,0.000,2560.000
0,0.0000,L1,2252.800,4608.000
0,0.0000,L2,3276.800,2662.400
0,0.0000,L3,1740.800,0.000
0,0.0000,L4,0.000,0.000
0,0.0000,L5,0.000,0.000
0,0.0000,L6,0.000,0.000
1,0.0167,L0,0.000,1945.600
1,0.0167,L1,1945.600,5120.000
1,0.0167,L2,4403.200,3174.400
1,0.0167,L3,1945.600,0.000
1,0.0167,L4,0.000,0.000
1,0.0167,L5,0.000,0.000
1,0.0167,L6,0.000,0.000
2,0.0333,L0,0.000,1843.200
2,0.0333,L1,1536.000,3993.600
2,0.0333,L2,4198.400,4403.200
2,0.0333,L3,2662.400,0.000
2,0.0333,L4,0.000,0.000
2,0.0333,L5,0.000,0.000
2,0.0333,L6,0.000,0.000
3,0.0500,L0,0.000,1740.800
3,0.0500,L1,1740.800,4403.200
3,0.0500,L2,4198.400,4710.400
3,0.0500,L3,3276.800,0.000
3,0.0500,L4,0.000,0.000
3,0.0500,L5,0.000,0.000
3,0.0500,L6,0.000,0.000
4,0.0667,L0,0.000,1228.800
4,0.0667,L1,1126.400,3276.800
4,0.0667,L2,3276.800,3788.800
4,0.0667,L3,2662.400,0.000
4,0.0667,L4,0.000,0.000
4,0.0667,L5,0.000,0.000
4,0.0667,L6,0.000,0.000
5,0.0833,L0,0.000,1331.200
5,0.0833,L1,1331.200,3481.600
5,0.0833,L2,3379.200,4710.400
5,0.0833,L3,3379.200,0.000
5,0.0833,L4,0.000,0.000
5,0.0833,L5,0.000,0.000
5,0.0833,L6,0.000,0.000
6,0.1000,L0,0.000,1331.200
6,0.1000,L1,1331.200,3481.600
6,0.1000,L2,3481.600,4710.400
6,0.1000,L3,3686.400,0.000
6,0.1000,L4,0.000,0.000
6,0.1000,L5,0.000,0.000
6,0.1000,L6,0.000,0.000
7,0.1167,L0,0.000,1331.200
7,0.1167,L1,1331.200,3788.800
7,0.1167,L2,3891.200,6144.000
7,0.1167,L3,4710.400,0.000
7,0.1167,L4,0.000,0.000
7,0.1167,L5,0.000,0.000
7,0.1167,L6,0.000,0.000
8,0.1333,L0,0.000,1433.600
8,0.1333,L1,1433.600,3891.200
8,0.1333,L2,3584.000,5324.800
8,0.1333,L3,4198.400,0.000
8,0.1333,L4,0.000,0.000
8,0.1333,L5,0.000,0.000
8,0.1333,L6,0.000,0.000
9,0.1500,L0,0.000,819.200
9,0.1500,L1,716.800,1945.600
9,0.1500,L2,2048.000,4300.800
9,0.1500,L3,3379.200,0.000
9,0.1500,L4,0.000,0.000
9,0.1500,L5,0.000,0.000
9,0.1500,L6,0.000,0.000
10,0.1667,L0,0.000,1228.800
10,0.1667,L1,1536.000,3993.600
10,0.1667,L2,3686.400,5734.400
10,0.1667,L3,4710.400,0.000
10,0.1667,L4,0.000,0.000
10,0.1667,L5,0.000,0.000
10,0.1667,L6,0.000,0.000
11,0.1833,L0,0.000,921.600
11,0.1833,L1,716.800,2048.000
11,0.1833,L2,2150.400,5017.600
11,0.1833,L3,3993.600,0.000
11,0.1833,L4,0.000,0.000
11,0.1833,L5,0.000,0.000
11,0.1833,L6,0.000,0.000
12,0.2000,L0,0.000,1331.200
12,0.2000,L1,1433.600,3891.200
12,0.2000,L2,3788.800,5734.400
12,0.2000,L3,4608.000,0.000
12,0.2000,L4,0.000,0.000
12,0.2000,L5,0.000,0.000
12,0.2000,L6,0.000,0.000
13,0.2167,L0,0.000,1024.000
13,0.2167,L1,1433.600,3993.600
13,0.2167,L2,3584.000,4710.400
13,0.2167,L3,3686.400,0.000
13,0.2167,L4,0.000,0.000
13,0.2167,L5,0.000,0.000
13,0.2167,L6,0.000,0.000
14,0.2333,L0,0.000,1228.800
14,0.2333,L1,716.800,1945.600
14,0.2333,L2,2457.600,5734.400
14,0.2333,L3,4608.000,0.000
14,0.2333,L4,0.000,0.000
14,0.2333,L5,0.000,0.000
14,0.2333,L6,0.000,0.000
15,0.2500,L0,0.000,1331.200
15,0.2500,L1,1331.200,3891.200
15,0.2500,L2,3788.800,5836.800
15,0.2500,L3,4608.000,0.000
15,0.2500,L4,0.000,0.000
15,0.2500,L5,0.000,0.000
15,0.2500,L6,0.000,0.000
16,0.2667,L0,0.000,1228.800
16,0.2667,L1,1433.600,3993.600
16,0.2667,L2,3584.000,5120.000
16,0.2667,L3,3993.600,0.000
16,0.2667,L4,0.000,0.000
16,0.2667,L5,0.000,0.000
16,0.2667,L6,0.000,0.000
17,0.2833,L0,0.000,1024.000
17,0.2833,L1,1433.600,3891.200
17,0.2833,L2,3584.000,4403.200
17,0.2833,L3,3379.200,0.000
17,0.2833,L4,0.000,0.000
17,0.2833,L5,0.000,0.000
17,0.2833,L6,0.000,0.000
18,0.3000,L0,0.000,1331.200
18,0.3000,L1,716.800,1945.600
18,0.3000,L2,2560.000,6553.600
18,0.3000,L3,5222.400,0.000
18,0.3000,L4,0.000,0.000
18,0.3000,L5,0.000,0.000
18,0.3000,L6,0.000,0.000
19,0.3167,L0,0.000,1126.400
19,0.3167,L1,1433.600,3993.600
19,0.3167,L2,3584.000,4710.400
19,0.3167,L3,3788.800,0.000
19,0.3167,L4,0.000,0.000
19,0.3167,L5,0.000,0.000
19,0.3167,L6,0.000,0.000
20,0.3333,L0,0.000,1024.000
20,0.3333,L1,716.800,2048.000
20,0.3333,L2,2355.200,5120.000
20,0.3333,L3,4096.000,0.000
20,0.3333,L4,0.000,0.000
20,0.3333,L5,0.000,0.000
20,0.3333,L6,0.000,0.000
21,0.3500,L0,0.000,1433.600
21,0.3500,L1,1433.600,3891.200
21,0.3500,L2,3788.800,5836.800
21,0.3500,L3,4505.600,0.000
21,0.3500,L4,0.000,0.000
21,0.3500,L5,0.000,0.000
21,0.3500,L6,0.000,0.000
22,0.3667,L0,0.000,921.600
22,0.3667,L1,1433.600,3993.600
22,0.3667,L2,3379.200,4915.200
22,0.3667,L3,3993.600,0.000
22,0.3667,L4,0.000,0.000
22,0.3667,L5,0.000,0.000
22,0.3667,L6,0.000,0.000
23,0.3833,L0,0.000,1228.800
23,0.3833,L1,716.800,1945.600
23,0.3833,L2,2457.600,5324.800
23,0.3833,L3,4198.400,0.000
23,0.3833,L4,0.000,0.000
23,0.3833,L5,0.000,0.000
23,0.3833,L6,0.000,0.000
24,0.4000,L0,0.000,1331.200
24,0.4000,L1,1433.600,3891.200
24,0.4000,L2,3788.800,5120.000
24,0.4000,L3,3993.600,0.000
24,0.4000,L4,0.000,0.000
24,0.4000,L5,0.000,0.000
24,0.4000,L6,0.000,0.000
25,0.4167,L0,0.000,819.200
25,0.4167,L1,1433.600,3993.600
25,0.4167,L2,3481.600,4812.800
25,0.4167,L3,3891.200,0.000
25,0.4167,L4,0.000,0.000
25,0.4167,L5,0.000,0.000
25,0.4167,L6,0.000,0.000
26,0.4333,L0,0.000,1433.600
26,0.4333,L1,716.800,1945.600
26,0.4333,L2,2457.600,6041.600
26,0.4333,L3,4710.400,0.000
26,0.4333,L4,0.000,0.000
26,0.4333,L5,0.000,0.000
26,0.4333,L6,0.000,0.000
27,0.4500,L0,0.000,1126.400
27,0.4500,L1,1433.600,3891.200
27,0.4500,L2,3584.000,4915.200
27,0.4500,L3,3891.200,0.000
27,0.4500,L4,0.000,0.000
27,0.4500,L5,0.000,0.000
27,0.4500,L6,0.000,0.000
28,0.4667,L0,0.000,1024.000
28,0.4667,L1,614.400,1843.200
28,0.4667,L2,2150.400,5017.600
28,0.4667,L3,4300.800,307.200
28,0.4667,L4,102.400,0.000
28,0.4667,L5,0.000,0.000
28,0.4667,L6,0.000,0.000
29,0.4833,L0,0.000,1228.800
29,0.4833,L1,1536.000,4096.000
29,0.4833,L2,3686.400,5222.400
29,0.4833,L3,4403.200,307.200
29,0.4833,L4,204.800,0.000
29,0.4833,L5,0.000,0.000
29,0.4833,L6,0.000,0.000
30,0.5000,L0,0.000,1024.000
30,0.5000,L1,819.200,2150.400
30,0.5000,L2,2355.200,5427.200
30,0.5000,L3,4915.200,921.600
30,0.5000,L4,307.200,0.000
30,0.5000,L5,0.000,0.000
30,0.5000,L6,0.000,0.000
31,0.5167,L0,0.000,819.200
31,0.5167,L1,716.800,2048.000
31,0.5167,L2,2252.800,4710.400
31,0.5167,L3,5222.400,2355.200
31,0.5167,L4,921.600,0.000
31,0.5167,L5,0.000,0.000
31,0.5167,L6,0.000,0.000
32,0.5333,L0,0.000,819.200
32,0.5333,L1,819.200,2048.000
32,0.5333,L2,1945.600,3584.000
32,0.5333,L3,3788.800,1433.600
32,0.5333,L4,614.400,0.000
32,0.5333,L5,0.000,0.000
32,0.5333,L6,0.000,0.000
33,0.5500,L0,0.000,1126.400
33,0.5500,L1,1536.000,4300.800
33,0.5500,L2,3686.400,5120.000
33,0.5500,L3,4710.400,1126.400
33,0.5500,L4,512.000,0.000
33,0.5500,L5,0.000,0.000
33,0.5500,L6,0.000,0.000
34,0.5667,L0,0.000,1126.400
34,0.5667,L1,819.200,2048.000
34,0.5667,L2,2457.600,6041.600
34,0.5667,L3,5529.600,819.200
34,0.5667,L4,307.200,0.000
34,0.5667,L5,0.000,0.000
34,0.5667,L6,0.000,0.000
35,0.5833,L0,0.000,819.200
35,0.5833,L1,819.200,2150.400
35,0.5833,L2,2150.400,4608.000
35,0.5833,L3,5017.600,2150.400
35,0.5833,L4,921.600,0.000
35,0.5833,L5,0.000,0.000
35,0.5833,L6,0.000,0.000
36,0.6000,L0,0.000,819.200
36,0.6000,L1,716.800,2150.400
36,0.6000,L2,2252.800,3993.600
36,0.6000,L3,3891.200,1126.400
36,0.6000,L4,512.000,0.000
36,0.6000,L5,0.000,0.000
36,0.6000,L6,0.000,0.000
37,0.6167,L0,0.000,1126.400
37,0.6167,L1,1536.000,4300.800
37,0.6167,L2,3788.800,4812.800
37,0.6167,L3,4710.400,1331.200
37,0.6167,L4,512.000,0.000
37,0.6167,L5,0.000,0.000
37,0.6167,L6,0.000,0.000
38,0.6333,L0,0.000,1126.400
38,0.6333,L1,819.200,2150.400
38,0.6333,L2,2457.600,5324.800
38,0.6333,L3,4915.200,1228.800
38,0.6333,L4,614.400,0.000
38,0.6333,L5,0.000,0.000
38,0.6333,L6,0.000,0.000
39,0.6500,L0,0.000,819.200
39,0.6500,L1,819.200,2150.400
39,0.6500,L2,2355.200,5427.200
39,0.6500,L3,5427.200,1638.400
39,0.6500,L4,614.400,0.000
39,0.6500,L5,0.000,0.000
39,0.6500,L6,0.000,0.000
40,0.6667,L0,0.000,819.200
40,0.6667,L1,716.800,2150.400
40,0.6667,L2,2252.800,4403.200
40,0.6667,L3,5017.600,2355.200
40,0.6667,L4,1024.000,0.000
40,0.6667,L5,0.000,0.000
40,0.6667,L6,0.000,0.000
41,0.6833,L0,0.000,819.200
41,0.6833,L1,819.200,2150.400
41,0.6833,L2,2048.000,3788.800
41,0.6833,L3,3788.800,1126.400
41,0.6833,L4,512.000,0.000
41,0.6833,L5,0.000,0.000
41,0.6833,L6,0.000,0.000
42,0.7000,L0,0.000,921.600
42,0.7000,L1,1536.000,4300.800
42,0.7000,L2,3686.400,4710.400
42,0.7000,L3,4505.600,1331.200
42,0.7000,L4,512.000,0.000
42,0.7000,L5,0.000,0.000
42,0.7000,L6,0.000,0.000
43,0.7167,L0,0.000,1126.400
43,0.7167,L1,819.200,2150.400
43,0.7167,L2,2457.600,5222.400
43,0.7167,L3,4915.200,1433.600
43,0.7167,L4,716.800,0.000
43,0.7167,L5,0.000,0.000
43,0.7167,L6,0.000,0.000
44,0.7333,L0,0.000,921.600
44,0.7333,L1,716.800,2150.400
44,0.7333,L2,2252.800,4710.400
44,0.7333,L3,4505.600,1228.800
44,0.7333,L4,512.000,0.000
44,0.7333,L5,0.000,0.000
44,0.7333,L6,0.000,0.000
45,0.7500,L0,0.000,819.200
45,0.7500,L1,819.200,2150.400
45,0.7500,L2,2355.200,4812.800
45,0.7500,L3,5120.000,2150.400
45,0.7500,L4,1024.000,0.000
45,0.7500,L5,0.000,0.000
45,0.7500,L6,0.000,0.000
46,0.7667,L0,0.000,921.600
46,0.7667,L1,819.200,2150.400
46,0.7667,L2,2252.800,3993.600
46,0.7667,L3,4300.800,2150.400
46,0.7667,L4,1126.400,0.000
46,0.7667,L5,0.000,0.000
46,0.7667,L6,0.000,0.000
47,0.7833,L0,0.000,716.800
47,0.7833,L1,716.800,2150.400
47,0.7833,L2,2048.000,4096.000
47,0.7833,L3,4096.000,1331.200
47,0.7833,L4,614.400,0.000
47,0.7833,L5,0.000,0.000
47,0.7833,L6,0.000,0.000
48,0.8000,L0,0.000,1024.000
48,0.8000,L1,1638.400,4300.800
48,0.8000,L2,3686.400,4505.600
48,0.8000,L3,4505.600,1331.200
48,0.8000,L4,614.400,0.000
48,0.8000,L5,0.000,0.000
48,0.8000,L6,0.000,0.000
49,0.8167,L0,0.000,1024.000
49,0.8167,L1,716.800,2150.400
49,0.8167,L2,2252.800,4812.800
49,0.8167,L3,4505.600,1228.800
49,0.8167,L4,512.000,0.000
49,0.8167,L5,0.000,0.000
49,0.8167,L6,0.000,0.000
50,0.8333,L0,0.000,1024.000
50,0.8333,L1,819.200,2150.400
50,0.8333,L2,2560.000,5324.800
50,0.8333,L3,5120.000,1433.600
50,0.8333,L4,716.800,0.000
50,0.8333,L5,0.000,0.000
50,0.8333,L6,0.000,0.000
51,0.8500,L0,0.000,819.200
51,0.8500,L1,819.200,2150.400
51,0.8500,L2,2252.800,4710.400
51,0.8500,L3,4812.800,1843.200
51,0.8500,L4,819.200,0.000
51,0.8500,L5,0.000,0.000
51,0.8500,L6,0.000,0.000
52,0.8667,L0,0.000,716.800
52,0.8667,L1,716.800,2150.400
52,0.8667,L2,2150.400,4505.600
52,0.8667,L3,4710.400,2048.000
52,0.8667,L4,1126.400,0.000
52,0.8667,L5,0.000,0.000
52,0.8667,L6,0.000,0.000
53,0.8833,L0,0.000,819.200
53,0.8833,L1,819.200,2048.000
53,0.8833,L2,2150.400,4505.600
53,0.8833,L3,5017.600,2252.800
53,0.8833,L4,1024.000,0.000
53,0.8833,L5,0.000,0.000
53,0.8833,L6,0.000,0.000
54,0.9000,L0,0.000,819.200
54,0.9000,L1,716.800,2150.400
54,0.9000,L2,2150.400,4403.200
54,0.9000,L3,4710.400,2252.800
54,0.9000,L4,1126.400,0.000
54,0.9000,L5,0.000,0.000
54,0.9000,L6,0.000,0.000
55,0.9167,L0,0.000,716.800
55,0.9167,L1,819.200,2048.000
55,0.9167,L2,2048.000,4096.000
55,0.9167,L3,4300.800,1638.400
55,0.9167,L4,921.600,0.000
55,0.9167,L5,0.000,0.000
55,0.9167,L6,0.000,0.000
56,0.9333,L0,0.000,819.200
56,0.9333,L1,716.800,2048.000
56,0.9333,L2,1945.600,3993.600
56,0.9333,L3,4403.200,2150.400
56,0.9333,L4,1024.000,0.000
56,0.9333,L5,0.000,0.000
56,0.9333,L6,0.000,0.000
57,0.9500,L0,0.000,819.200
57,0.9500,L1,1433.600,3891.200
57,0.9500,L2,3584.000,4096.000
57,0.9500,L3,4096.000,2150.400
57,0.9500,L4,1228.800,0.000
57,0.9500,L5,0.000,0.000
57,0.9500,L6,0.000,0.000
58,0.9667,L0,0.000,819.200
58,0.9667,L1,716.800,2048.000
58,0.9667,L2,2150.400,4812.800
58,0.9667,L3,4505.600,1536.000
58,0.9667,L4,819.200,0.000
58,0.9667,L5,0.000,0.000
58,0.9667,L6,0.000,0.000
59,0.9833,L0,0.000,716.800
59,0.9833,L1,716.800,1945.600
59,0.9833,L2,2150.400,4608.000
59,0.9833,L3,4812.800,2150.400
59,0.9833,L4,1228.800,0.000
59,0.9833,L5,0.000,0.000
59,0.9833,L6,0.000,0.000
60,1.0000,L0,0.000,819.200
60,1.0000,L1,716.800,1843.200
60,1.0000,L2,1945.600,3993.600
60,1.0000,L3,4403.200,2867.200
60,1.0000,L4,1740.800,0.000
60,1.0000,L5,0.000,0.000
60,1.0000,L6,0.000,0.000
61,1.0167,L0,0.000,819.200
61,1.0167,L1,716.800,1843.200
61,1.0167,L2,2048.000,3686.400
61,1.0167,L3,4300.800,3174.400
61,1.0167,L4,1945.600,0.000
61,1.0167,L5,0.000,0.000
61,1.0167,L6,0.000,0.000
62,1.0333,L0,0.000,819.200
62,1.0333,L1,614.400,1843.200
62,1.0333,L2,1740.800,2969.600
62,1.0333,L3,3481.600,2867.200
62,1.0333,L4,1843.200,0.000
62,1.0333,L5,0.000,0.000
62,1.0333,L6,0.000,0.000
63,1.0500,L0,0.000,716.800
63,1.0500,L1,1331.200,3584.000
63,1.0500,L2,3072.000,3788.800
63,1.0500,L3,3686.400,1945.600
63,1.0500,L4,1228.800,0.000
63,1.0500,L5,0.000,0.000
63,1.0500,L6,0.000,0.000
64,1.0667,L0,0.000,716.800
64,1.0667,L1,614.400,1740.800
64,1.0667,L2,2048.000,4505.600
64,1.0667,L3,4505.600,2150.400
64,1.0667,L4,1433.600,0.000
64,1.0667,L5,0.000,0.000
64,1.0667,L6,0.000,0.000
65,1.0833,L0,0.000,819.200
65,1.0833,L1,614.400,1740.800
65,1.0833,L2,1945.600,4812.800
65,1.0833,L3,4812.800,2457.600
65,1.0833,L4,1638.400,0.000
65,1.0833,L5,0.000,0.000
65,1.0833,L6,0.000,0.000
66,1.1000,L0,0.000,819.200
66,1.1000,L1,716.800,1740.800
66,1.1000,L2,1843.200,3584.000
66,1.1000,L3,4096.000,3481.600
66,1.1000,L4,2252.800,0.000
66,1.1000,L5,0.000,0.000
66,1.1000,L6,0.000,0.000
67,1.1167,L0,0.000,716.800
67,1.1167,L1,614.400,1536.000
67,1.1167,L2,1638.400,3481.600
67,1.1167,L3,3993.600,3174.400
67,1.1167,L4,2252.800,0.000
67,1.1167,L5,0.000,0.000
67,1.1167,L6,0.000,0.000
68,1.1333,L0,0.000,614.400
68,1.1333,L1,1126.400,3276.800
68,1.1333,L2,2764.800,3686.400
68,1.1333,L3,3686.400,2150.400
68,1.1333,L4,1536.000,0.000
68,1.1333,L5,0.000,0.000
68,1.1333,L6,0.000,0.000
69,1.1500,L0,0.000,716.800
69,1.1500,L1,614.400,1638.400
69,1.1500,L2,1843.200,4505.600
69,1.1500,L3,4300.800,2252.800
69,1.1500,L4,1536.000,0.000
69,1.1500,L5,0.000,0.000
69,1.1500,L6,0.000,0.000
70,1.1667,L0,0.000,716.800
70,1.1667,L1,614.400,1536.000
70,1.1667,L2,1740.800,3891.200
70,1.1667,L3,4198.400,3072.000
70,1.1667,L4,2150.400,0.000
70,1.1667,L5,0.000,0.000
70,1.1667,L6,0.000,0.000
71,1.1833,L0,0.000,819.200
71,1.1833,L1,512.000,1536.000
71,1.1833,L2,1536.000,3481.600
71,1.1833,L3,3993.600,3686.400
71,1.1833,L4,2662.400,0.000
71,1.1833,L5,0.000,0.000
71,1.1833,L6,0.000,0.000
72,1.2000,L0,0.000,716.800
72,1.2000,L1,1126.400,2969.600
72,1.2000,L2,2662.400,3686.400
72,1.2000,L3,3686.400,2355.200
72,1.2000,L4,1740.800,0.000
72,1.2000,L5,0.000,0.000
72,1.2000,L6,0.000,0.000
73,1.2167,L0,0.000,614.400
73,1.2167,L1,614.400,1536.000
73,1.2167,L2,1843.200,4300.800
73,1.2167,L3,4096.000,2355.200
73,1.2167,L4,1740.800,0.000
73,1.2167,L5,0.000,0.000
73,1.2167,L6,0.000,0.000
74,1.2333,L0,0.000,716.800
74,1.2333,L1,512.000,1433.600
74,1.2333,L2,1536.000,2969.600
74,1.2333,L3,3584.000,3993.600
74,1.2333,L4,2969.600,0.000
74,1.2333,L5,0.000,0.000
74,1.2333,L6,0.000,0.000
75,1.2500,L0,0.000,716.800
75,1.2500,L1,512.000,1433.600
75,1.2500,L2,1536.000,3481.600
75,1.2500,L3,3584.000,3481.600
75,1.2500,L4,2662.400,0.000
75,1.2500,L5,0.000,0.000
75,1.2500,L6,0.000,0.000
76,1.2667,L0,0.000,716.800
76,1.2667,L1,1126.400,2867.200
76,1.2667,L2,2560.000,3993.600
76,1.2667,L3,3891.200,2560.000
76,1.2667,L4,1945.600,0.000
76,1.2667,L5,0.000,0.000
76,1.2667,L6,0.000,0.000
77,1.2833,L0,0.000,614.400
77,1.2833,L1,512.000,1433.600
77,1.2833,L2,1638.400,4300.800
77,1.2833,L3,4300.800,2969.600
77,1.2833,L4,2252.800,0.000
77,1.2833,L5,0.000,0.000
77,1.2833,L6,0.000,0.000
78,1.3000,L0,0.000,716.800
78,1.3000,L1,512.000,1433.600
78,1.3000,L2,1536.000,3072.000
78,1.3000,L3,3584.000,3584.000
78,1.3000,L4,2764.800,0.000
78,1.3000,L5,0.000,0.000
78,1.3000,L6,0.000,0.000
79,1.3167,L0,0.000,614.400
79,1.3167,L1,1024.000,2662.400
79,1.3167,L2,2457.600,3379.200
79,1.3167,L3,3379.200,2764.800
79,1.3167,L4,2150.400,0.000
79,1.3167,L5,0.000,0.000
79,1.3167,L6,0.000,0.000
80,1.3333,L0,0.000,716.800
80,1.3333,L1,512.000,1433.600
80,1.3333,L2,1536.000,4403.200
80,1.3333,L3,4300.800,2969.600
80,1.3333,L4,2150.400,0.000
80,1.3333,L5,0.000,0.000
80,1.3333,L6,0.000,0.000
81,1.3500,L0,0.000,716.800
81,1.3500,L1,512.000,1228.800
81,1.3500,L2,1433.600,3379.200
81,1.3500,L3,3891.200,3788.800
81,1.3500,L4,2969.600,0.000
81,1.3500,L5,0.000,0.000
81,1.3500,L6,0.000,0.000
82,1.3667,L0,0.000,614.400
82,1.3667,L1,1024.000,2662.400
82,1.3667,L2,2355.200,3379.200
82,1.3667,L3,3276.800,2764.800
82,1.3667,L4,2150.400,0.000
82,1.3667,L5,0.000,0.000
82,1.3667,L6,0.000,0.000
83,1.3833,L0,0.000,614.400
83,1.3833,L1,512.000,1331.200
83,1.3833,L2,1433.600,4198.400
83,1.3833,L3,4300.800,3174.400
83,1.3833,L4,2560.000,0.000
83,1.3833,L5,0.000,0.000
83,1.3833,L6,0.000,0.000
84,1.4000,L0,0.000,716.800
84,1.4000,L1,409.600,1228.800
84,1.4000,L2,1433.600,3174.400
84,1.4000,L3,3584.000,3891.200
84,1.4000,L4,3072.000,0.000
84,1.4000,L5,0.000,0.000
84,1.4000,L6,0.000,0.000
85,1.4167,L0,0.000,614.400
85,1.4167,L1,921.600,2560.000
85,1.4167,L2,2355.200,4403.200
85,1.4167,L3,4096.000,2252.800
85,1.4167,L4,1740.800,0.000
85,1.4167,L5,0.000,0.000
85,1.4167,L6,0.000,0.000
86,1.4333,L0,0.000,716.800
86,1.4333,L1,512.000,1228.800
86,1.4333,L2,1331.200,2867.200
86,1.4333,L3,3174.400,4300.800
86,1.4333,L4,3584.000,0.000
86,1.4333,L5,0.000,0.000
86,1.4333,L6,0.000,0.000
87,1.4500,L0,0.000,614.400
87,1.4500,L1,921.600,2457.600
87,1.4500,L2,2150.400,2662.400
87,1.4500,L3,2764.800,3481.600
