minute,hour,flush_delays,flush_stops,comp_delays,comp_stops,stall_seconds
0,0.0000,0,30,6,0,6.913000
1,0.0167,0,0,2,0,0.245000
2,0.0333,0,0,6,0,11.840000
3,0.0500,0,0,14,0,18.339000
4,0.0667,0,0,16,0,25.522000
5,0.0833,0,0,10,0,19.696000
6,0.1000,0,0,8,0,22.839000
7,0.1167,0,0,13,0,24.344000
8,0.1333,0,0,11,0,25.351000
9,0.1500,0,0,17,0,35.493000
10,0.1667,0,0,15,0,22.058000
11,0.1833,0,0,26,0,32.334000
12,0.2000,0,0,13,0,22.103000
13,0.2167,0,0,23,0,34.488000
14,0.2333,0,0,21,0,27.149000
15,0.2500,0,0,15,0,24.112000
16,0.2667,0,0,17,0,29.471000
17,0.2833,0,0,22,0,32.449000
18,0.3000,0,0,18,0,26.482000
19,0.3167,0,0,20,0,27.221000
20,0.3333,0,0,20,0,29.513000
21,0.3500,0,0,17,0,23.726000
22,0.3667,0,0,24,0,35.803000
23,0.3833,0,0,20,0,28.319000
24,0.4000,0,0,15,0,20.672000
25,0.4167,0,0,24,0,36.448000
26,0.4333,0,0,14,0,17.643000
27,0.4500,0,0,20,0,30.225000
28,0.4667,0,0,25,0,33.754000
29,0.4833,0,0,12,0,25.759000
30,0.5000,0,0,21,0,31.728000
31,0.5167,0,0,33,0,40.122000
32,0.5333,0,0,25,0,40.228000
33,0.5500,0,0,21,0,29.802000
34,0.5667,0,0,22,0,33.516000
35,0.5833,0,0,33,0,39.948000
36,0.6000,0,0,25,0,39.841000
37,0.6167,0,0,22,0,31.274000
38,0.6333,0,0,21,0,32.315000
39,0.6500,0,0,32,0,40.158000
40,0.6667,0,0,32,0,39.089000
41,0.6833,0,0,25,0,40.511000
42,0.7000,0,0,23,0,35.834000
43,0.7167,0,0,23,0,32.327000
44,0.7333,0,0,23,0,33.022000
45,0.7500,0,0,33,0,39.672000
46,0.7667,0,0,37,0,39.044000
47,0.7833,0,0,26,0,40.712000
48,0.8000,0,0,22,0,35.448000
49,0.8167,0,0,23,0,31.765000
50,0.8333,0,0,25,0,34.667000
51,0.8500,0,0,29,0,37.423000
52,0.8667,0,0,31,0,41.195000
53,0.8833,0,0,34,0,41.558000
54,0.9000,0,0,33,0,40.926000
55,0.9167,0,0,25,0,41.638000
56,0.9333,0,0,33,0,41.418000
57,0.9500,0,0,28,0,38.133000
58,0.9667,0,0,31,0,39.438000
59,0.9833,0,0,31,0,40.428000
60,1.0000,0,0,35,0,41.251000
61,1.0167,0,0,39,0,39.659000
62,1.0333,0,0,37,0,40.894000
63,1.0500,0,0,34,0,42.569000
64,1.0667,0,0,32,0,43.335000
65,1.0833,0,0,34,0,41.572000
66,1.1000,0,0,33,0,39.754000
67,1.1167,0,0,30,0,42.542000
68,1.1333,0,0,29,0,44.227000
69,1.1500,0,0,32,0,42.905000
70,1.1667,0,0,30,0,42.099000
71,1.1833,0,0,32,0,40.525000
72,1.2000,0,0,29,0,44.109000
73,1.2167,0,0,30,0,43.435000
74,1.2333,0,0,32,0,41.959000
75,1.2500,0,0,30,0,44.049000
76,1.2667,0,0,33,0,45.292000
77,1.2833,0,0,29,0,43.888000
78,1.3000,0,0,28,0,43.293000
79,1.3167,0,0,29,0,45.073000
80,1.3333,0,0,33,0,44.847000
81,1.3500,0,0,29,0,43.173000
82,1.3667,0,0,28,0,44.985000
83,1.3833,0,0,30,0,45.146000
84,1.4000,0,0,29,0,43.153000
85,1.4167,0,0,32,0,46.031000
86,1.4333,0,0,26,0,44.719000
87,1.4500,0,0,27,0,45.307000
88,1.4667,0,0,26,0,47.611000
89,1.4833,0,0,28,0,44.619000
90,1.5000,0,0,29,0,45.200000
91,1.5167,0,0,31,0,46.484000
92,1.5333,0,0,24,0,44.866000
93,1.5500,0,0,31,0,46.952000
94,1.5667,0,0,94,0,47.937000
95,1.5833,0,0,140,0,44.518000
96,1.6000,0,0,27,0,44.866000
97,1.6167,0,0,30,0,45.588000
98,1.6333,0,0,21,0,38.690000
99,1.6500,0,0,28,0,46.717000
100,1.6667,0,0,23,0,39.979000
101,1.6833,0,0,33,0,46.404000
102,1.7000,0,0,26,0,46.714000
103,1.7167,0,0,27,0,42.901000
104,1.7333,0,0,25,0,45.284000
105,1.7500,0,0,22,0,34.911000
106,1.7667,0,0,14,0,17.675000
107,1.7833,0,0,35,0,45.080000
108,1.8000,0,0,31,0,45.330000
109,1.8167,0,0,30,0,47.396000
110,1.8333,0,0,31,0,47.198000
111,1.8500,0,0,30,0,46.754000
112,1.8667,0,0,29,0,47.127000
113,1.8833,0,0,30,0,45.804000
114,1.9000,0,0,25,0,42.475000
115,1.9167,0,0,31,0,41.888000
116,1.9333,0,0,32,0,46.984000
117,1.9500,0,0,28,0,47.825000
118,1.9667,0,0,27,0,42.255000
119,1.9833,0,0,29,0,46.003000
120,2.0000,0,0,29,0,43.571000
121,2.0167,0,0,28,0,44.303000
122,2.0333,0,0,30,0,44.687000
123,2.0500,0,0,33,0,45.842000
124,2.0667,0,0,23,0,37.117000
125,2.0833,0,0,25,0,46.276000
126,2.1000,0,0,29,0,48.674000
127,2.1167,0,0,24,0,38.844000
128,2.1333,0,0,28,0,47.572000
129,2.1500,0,0,35,0,45.594000
130,2.1667,0,0,28,0,44.539000
131,2.1833,0,0,23,0,35.599000
132,2.2000,0,0,35,0,48.645000
133,2.2167,0,0,27,0,48.240000
134,2.2333,0,0,29,0,46.411000
135,2.2500,0,0,27,0,47.570000
136,2.2667,0,0,25,0,40.736000
137,2.2833,0,0,29,0,44.291000
138,2.3000,0,0,26,0,48.502000
139,2.3167,0,0,25,0,30.843000
140,2.3333,0,0,26,0,45.815000
141,2.3500,0,0,31,0,48.441000
142,2.3667,0,0,28,0,46.338000
143,2.3833,0,0,30,0,45.343000
144,2.4000,0,0,22,0,33.578000
145,2.4167,0,0,32,0,48.385000
146,2.4333,0,0,33,0,48.029000
147,2.4500,0,0,30,0,48.664000
148,2.4667,0,0,25,0,42.430000
149,2.4833,0,0,24,0,46.012000
150,2.5000,0,0,24,0,38.821000
151,2.5167,0,0,35,0,45.239000
152,2.5333,0,0,27,0,48.749000
153,2.5500,0,0,30,0,43.267000
154,2.5667,0,0,28,0,45.168000
155,2.5833,0,0,27,0,42.061000
156,2.6000,0,0,31,0,48.578000
157,2.6167,0,0,28,0,42.815000
158,2.6333,0,0,27,0,48.177000
159,2.6500,0,0,29,0,43.415000
160,2.6667,0,0,28,0,44.973000
161,2.6833,0,0,27,0,42.667000
162,2.7000,0,0,27,0,45.433000
163,2.7167,0,0,26,0,45.216000
164,2.7333,0,0,29,0,47.237000
165,2.7500,0,0,36,0,45.633000
166,2.7667,0,0,33,0,48.825000
167,2.7833,0,0,36,0,47.582000
168,2.8000,0,0,31,0,45.157000
169,2.8167,0,0,36,0,48.623000
170,2.8333,0,0,37,0,47.677000
171,2.8500,0,0,29,0,45.914000
172,2.8667,0,0,37,0,47.782000
173,2.8833,0,0,41,0,49.067000
174,2.9000,0,0,31,0,45.443000
175,2.9167,0,0,40,0,49.851000
176,2.9333,0,0,36,0,46.067000
177,2.9500,0,0,40,0,50.141000
178,2.9667,0,0,36,0,46.519000
179,2.9833,0,0,35,0,49.328000
180,3.0000,0,0,39,0,47.436000
181,3.0167,0,0,39,0,48.488000
182,3.0333,0,0,36,0,47.981000
183,3.0500,0,0,37,0,46.922000
184,3.0667,0,0,40,0,49.712000
185,3.0833,0,0,34,0,46.720000
186,3.1000,0,0,41,0,49.036000
187,3.1167,0,0,34,0,46.986000
188,3.1333,0,0,39,0,49.197000
189,3.1500,0,0,37,0,46.505000
190,3.1667,0,0,39,0,49.678000
191,3.1833,0,0,35,0,46.795000
192,3.2000,0,0,37,0,44.685000
193,3.2167,0,0,37,0,49.477000
194,3.2333,0,0,36,0,47.330000
195,3.2500,0,0,41,0,50.052000
196,3.2667,0,0,34,0,46.813000
197,3.2833,0,0,41,0,50.156000
198,3.3000,0,0,35,0,48.468000
199,3.3167,0,0,41,0,47.202000
200,3.3333,0,0,32,0,46.671000
201,3.3500,0,0,37,0,49.602000
202,3.3667,0,0,37,0,46.641000
203,3.3833,0,0,34,0,47.057000
204,3.4000,0,0,37,0,48.858000
205,3.4167,0,0,34,0,47.877000
206,3.4333,0,0,38,0,47.794000
207,3.4500,0,0,35,0,46.375000
208,3.4667,0,0,42,0,49.702000
209,3.4833,0,0,37,0,46.414000
210,3.5000,0,0,38,0,50.046000
211,3.5167,0,0,32,0,45.832000
212,3.5333,0,0,40,0,49.583000
213,3.5500,0,0,36,0,46.269000
214,3.5667,0,0,41,0,49.466000
215,3.5833,0,0,35,0,46.284000
216,3.6000,0,0,35,0,48.520000
217,3.6167,0,0,38,0,47.510000
218,3.6333,0,0,34,0,47.233000
219,3.6500,0,0,33,0,48.408000
220,3.6667,0,0,40,0,49.488000
221,3.6833,0,0,33,0,46.655000
222,3.7000,0,0,35,0,46.285000
223,3.7167,0,0,39,0,49.717000
224,3.7333,0,0,38,0,46.100000
225,3.7500,0,0,37,0,49.582000
226,3.7667,0,0,35,0,46.613000
227,3.7833,0,0,38,0,49.520000
228,3.8000,0,0,32,0,45.825000
229,3.8167,0,0,36,0,50.059000
230,3.8333,0,0,33,0,46.527000
231,3.8500,0,0,36,0,48.333000
232,3.8667,0,0,37,0,48.493000
233,3.8833,0,0,35,0,46.388000
234,3.9000,0,0,38,0,49.842000
235,3.9167,0,0,36,0,46.296000
236,3.9333,0,0,36,0,48.965000
237,3.9500,0,0,33,0,46.299000
238,3.9667,0,0,37,0,46.480000
239,3.9833,0,0,42,0,49.313000
240,4.0000,0,0,34,0,45.394000
241,4.0167,0,0,34,0,45.868000
242,4.0333,0,0,36,0,49.457000
243,4.0500,0,0,41,0,46.359000
244,4.0667,0,0,38,0,49.082000
245,4.0833,0,0,38,0,46.827000
246,4.1000,0,0,40,0,49.854000
247,4.1167,0,0,40,0,47.342000
248,4.1333,0,0,36,0,50.177000
249,4.1500,0,0,32,0,47.888000
250,4.1667,0,0,40,0,49.842000
251,4.1833,0,0,37,0,45.693000
252,4.2000,0,0,40,0,49.057000
253,4.2167,0,0,34,0,46.899000
254,4.2333,0,0,43,0,49.728000
255,4.2500,0,0,36,0,46.608000
256,4.2667,0,0,36,0,50.096000
257,4.2833,0,0,37,0,46.162000
258,4.3000,0,0,32,0,46.190000
259,4.3167,0,0,38,0,49.715000
260,4.3333,0,0,34,0,46.578000
261,4.3500,0,0,39,0,49.774000
262,4.3667,0,0,41,0,46.817000
263,4.3833,0,0,36,0,48.363000
264,4.4000,0,0,40,0,47.922000
265,4.4167,0,0,32,0,46.768000
266,4.4333,0,0,41,0,49.321000
267,4.4500,0,0,32,0,47.280000
268,4.4667,0,0,40,0,49.533000
269,4.4833,0,0,34,0,47.023000
270,4.5000,0,0,37,0,48.044000
271,4.5167,0,0,34,0,47.265000
272,4.5333,0,0,37,0,49.426000
273,4.5500,0,0,35,0,46.414000
274,4.5667,0,0,34,0,47.037000
275,4.5833,0,0,42,0,49.533000
276,4.6000,0,0,33,0,49.926000
277,4.6167,0,0,35,0,46.531000
278,4.6333,0,0,39,0,49.163000
279,4.6500,0,0,38,0,46.283000
280,4.6667,0,0,36,0,47.806000
281,4.6833,0,0,38,0,48.483000
282,4.7000,0,0,39,0,49.955000
283,4.7167,0,0,35,0,47.164000
284,4.7333,0,0,41,0,46.373000
285,4.7500,0,0,34,0,49.281000
286,4.7667,0,0,35,0,46.185000
287,4.7833,0,0,35,0,49.222000
288,4.8000,0,0,35,0,46.607000
289,4.8167,0,0,42,0,50.091000
290,4.8333,0,0,35,0,47.201000
291,4.8500,0,0,41,0,50.365000
292,4.8667,0,0,32,0,46.969000
293,4.8833,0,0,38,0,49.913000
294,4.9000,0,0,37,0,49.149000
295,4.9167,0,0,37,0,48.053000
296,4.9333,0,0,36,0,50.909000
297,4.9500,0,0,38,0,46.983000
298,4.9667,0,0,38,0,50.194000
299,4.9833,0,0,32,0,45.948000
300,5.0000,0,0,40,0,50.454000
301,5.0167,0,0,32,0,48.154000
302,5.0333,0,0,35,0,49.044000
303,5.0500,0,0,36,0,47.824000
304,5.0667,0,0,40,0,49.689000
305,5.0833,0,0,37,0,50.038000
306,5.1000,0,0,33,0,46.896000
307,5.1167,0,0,34,0,49.289000
308,5.1333,0,0,35,0,50.304000
309,5.1500,0,0,35,0,47.046000
310,5.1667,0,0,40,0,49.960000
311,5.1833,0,0,40,0,46.809000
312,5.2000,0,0,39,0,50.498000
313,5.2167,0,0,40,0,50.123000
314,5.2333,0,0,40,0,47.066000
315,5.2500,0,0,40,0,50.271000
316,5.2667,0,0,32,0,47.532000
317,5.2833,0,0,44,0,49.967000
318,5.3000,0,0,39,0,50.852000
319,5.3167,0,0,36,0,46.671000
320,5.3333,0,0,37,0,50.179000
321,5.3500,0,0,34,0,49.422000
322,5.3667,0,0,36,0,47.578000
323,5.3833,0,0,37,0,49.919000
324,5.4000,0,0,36,0,47.821000
325,5.4167,0,0,38,0,51.584000
326,5.4333,0,0,38,0,50.694000
327,5.4500,0,0,38,0,50.197000
328,5.4667,0,0,34,0,47.218000
329,5.4833,0,0,38,0,50.379000
330,5.5000,0,0,39,0,50.526000
331,5.5167,0,0,35,0,46.776000
332,5.5333,0,0,39,0,50.834000
333,5.5500,0,0,35,0,51.132000
334,5.5667,0,0,34,0,47.720000
335,5.5833,0,0,35,0,49.954000
336,5.6000,0,0,39,0,51.302000
337,5.6167,0,0,33,0,48.907000
338,5.6333,0,0,37,0,48.102000
339,5.6500,0,0,38,0,50.930000
340,5.6667,0,0,39,0,47.347000
341,5.6833,0,0,38,0,50.448000
342,5.7000,0,0,41,0,50.779000
343,5.7167,0,0,35,0,47.498000
344,5.7333,0,0,40,0,49.623000
345,5.7500,0,0,36,0,50.535000
346,5.7667,0,0,37,0,47.202000
347,5.7833,0,0,42,0,50.483000
348,5.8000,0,0,36,0,50.516000
349,5.8167,0,0,35,0,48.214000
350,5.8333,0,0,42,0,50.189000
351,5.8500,0,0,42,0,50.776000
352,5.8667,0,0,32,0,47.544000
353,5.8833,0,0,37,0,50.257000
354,5.9000,0,0,43,0,50.522000
355,5.9167,0,0,40,0,49.833000
356,5.9333,0,0,35,0,46.750000
357,5.9500,0,0,40,0,51.713000
358,5.9667,0,0,38,0,50.757000
359,5.9833,0,0,35,0,47.694000
360,6.0000,0,0,38,0,48.253000
361,6.0167,0,0,38,0,49.162000
362,6.0333,0,0,38,0,50.227000
363,6.0500,0,0,35,0,50.566000
364,6.0667,0,0,37,0,47.740000
365,6.0833,0,0,38,0,50.634000
366,6.1000,0,0,40,0,50.370000
367,6.1167,0,0,35,0,47.089000
368,6.1333,0,0,35,0,50.448000
369,6.1500,0,0,37,0,50.424000
370,6.1667,0,0,36,0,47.484000
371,6.1833,0,0,38,0,49.935000
372,6.2000,0,0,38,0,50.450000
373,6.2167,0,0,35,0,47.670000
374,6.2333,0,0,38,0,50.060000
375,6.2500,0,0,37,0,50.384000
376,6.2667,0,0,38,0,50.547000
377,6.2833,0,0,32,0,47.347000
378,6.3000,0,0,37,0,50.410000
379,6.3167,0,0,35,0,49.988000
380,6.3333,0,0,35,0,48.191000
381,6.3500,0,0,37,0,49.713000
382,6.3667,0,0,38,0,50.277000
383,6.3833,0,0,36,0,49.469000
384,6.4000,0,0,36,0,48.295000
385,6.4167,0,0,38,0,49.564000
386,6.4333,0,0,38,0,50.695000
387,6.4500,0,0,34,0,49.570000
388,6.4667,0,0,36,0,47.600000
389,6.4833,0,0,37,0,49.914000
390,6.5000,0,0,34,0,49.524000
391,6.5167,0,0,34,0,48.247000
392,6.5333,0,0,35,0,49.251000
393,6.5500,0,0,42,0,50.031000
394,6.5667,0,0,34,0,50.530000
395,6.5833,0,0,32,0,47.386000
396,6.6000,0,0,41,0,50.645000
397,6.6167,0,0,36,0,50.402000
398,6.6333,0,0,37,0,47.722000
399,6.6500,0,0,38,0,50.501000
400,6.6667,0,0,37,0,50.967000
401,6.6833,0,0,35,0,47.388000
402,6.7000,0,0,39,0,50.851000
403,6.7167,0,0,38,0,50.657000
404,6.7333,0,0,37,0,49.540000
405,6.7500,0,0,34,0,47.869000
406,6.7667,0,0,33,0,49.614000
407,6.7833,0,0,37,0,50.651000
408,6.8000,0,0,41,0,50.622000
409,6.8167,0,0,33,0,46.399000
410,6.8333,0,0,38,0,50.455000
411,6.8500,0,0,34,0,50.385000
412,6.8667,0,0,41,0,50.670000
413,6.8833,0,0,37,0,50.932000
414,6.9000,0,0,38,0,50.309000
415,6.9167,0,0,35,0,48.399000
416,6.9333,0,0,33,0,50.725000
417,6.9500,0,0,36,0,49.590000
418,6.9667,0,0,36,0,49.332000
419,6.9833,0,0,37,0,49.896000
420,7.0000,0,0,33,0,46.551000
421,7.0167,0,0,41,0,50.442000
422,7.0333,0,0,38,0,50.668000
423,7.0500,0,0,39,0,50.427000
424,7.0667,0,0,35,0,50.759000
425,7.0833,0,0,37,0,48.196000
426,7.1000,0,0,36,0,49.940000
427,7.1167,0,0,38,0,49.726000
428,7.1333,0,0,37,0,50.323000
429,7.1500,0,0,38,0,50.225000
430,7.1667,0,0,37,0,50.064000
431,7.1833,0,0,35,0,47.608000
432,7.2000,0,0,35,0,50.470000
433,7.2167,0,0,37,0,50.209000
434,7.2333,0,0,35,0,50.693000
435,7.2500,0,0,35,0,50.710000
436,7.2667,0,0,37,0,50.694000
437,7.2833,0,0,32,0,48.530000
438,7.3000,0,0,35,0,49.529000
439,7.3167,0,0,38,0,50.936000
440,7.3333,0,0,40,0,51.307000
441,7.3500,0,0,37,0,49.724000
442,7.3667,0,0,37,0,48.256000
443,7.3833,0,0,35,0,50.693000
444,7.4000,0,0,36,0,51.014000
445,7.4167,0,0,39,0,50.825000
446,7.4333,0,0,36,0,49.054000
447,7.4500,0,0,36,0,47.904000
448,7.4667,0,0,36,0,51.400000
449,7.4833,0,0,39,0,50.555000
450,7.5000,0,0,35,0,49.543000
451,7.5167,0,0,35,0,47.020000
452,7.5333,0,0,40,0,49.780000
453,7.5500,0,0,39,0,50.658000
454,7.5667,0,0,36,0,50.234000
455,7.5833,0,0,33,0,47.702000
456,7.6000,0,0,38,0,50.367000
457,7.6167,0,0,36,0,50.426000
458,7.6333,0,0,34,0,49.721000
459,7.6500,0,0,34,0,49.088000
460,7.6667,0,0,40,0,49.216000
461,7.6833,0,0,34,0,50.814000
462,7.7000,0,0,34,0,49.810000
463,7.7167,0,0,37,0,50.805000
464,7.7333,0,0,33,0,46.709000
465,7.7500,0,0,33,0,49.987000
466,7.7667,0,0,37,0,51.249000
467,7.7833,0,0,38,0,49.682000
468,7.8000,0,0,34,0,51.055000
469,7.8167,0,0,32,0,47.241000
470,7.8333,0,0,36,0,50.551000
471,7.8500,0,0,39,0,50.622000
472,7.8667,0,0,34,0,50.777000
473,7.8833,0,0,34,0,47.475000
474,7.9000,0,0,35,0,50.011000
475,7.9167,0,0,38,0,51.148000
476,7.9333,0,0,36,0,50.732000
477,7.9500,0,0,37,0,50.685000
478,7.9667,0,0,36,0,50.275000
479,7.9833,0,0,37,0,47.988000
480,8.0000,0,0,35,0,50.458000
481,8.0167,0,0,34,0,49.437000
482,8.0333,0,0,37,0,50.782000
483,8.0500,0,0,35,0,50.609000
484,8.0667,0,0,37,0,51.432000
485,8.0833,0,0,36,0,50.444000
486,8.1000,0,0,39,0,51.320000
487,8.1167,0,0,34,0,47.836000
488,8.1333,0,0,34,0,49.894000
489,8.1500,0,0,32,0,50.848000
490,8.1667,0,0,40,0,50.302000
491,8.1833,0,0,33,0,51.033000
492,8.2000,0,0,35,0,50.897000
493,8.2167,0,0,33,0,47.740000
494,8.2333,0,0,37,0,50.093000
495,8.2500,0,0,36,0,50.022000
496,8.2667,0,0,37,0,49.397000
497,8.2833,0,0,39,0,48.389000
498,8.3000,0,0,36,0,50.663000
499,8.3167,0,0,37,0,48.367000
500,8.3333,0,0,34,0,50.307000
501,8.3500,0,0,38,0,49.987000
502,8.3667,0,0,41,0,51.006000
503,8.3833,0,0,34,0,49.774000
504,8.4000,0,0,34,0,49.313000
505,8.4167,0,0,40,0,50.721000
506,8.4333,0,0,37,0,50.908000
507,8.4500,0,0,36,0,48.742000
508,8.4667,0,0,36,0,48.967000
509,8.4833,0,0,39,0,51.041000
510,8.5000,0,0,34,0,48.317000
511,8.5167,0,0,36,0,50.093000
512,8.5333,0,0,34,0,48.602000
513,8.5500,0,0,41,0,51.358000
514,8.5667,0,0,35,0,51.558000
515,8.5833,0,0,35,0,48.558000
516,8.6000,0,0,39,0,51.153000
517,8.6167,0,0,33,0,49.097000
518,8.6333,0,0,37,0,48.516000
519,8.6500,0,0,35,0,51.774000
520,8.6667,0,0,40,0,50.920000
521,8.6833,0,0,36,0,48.774000
522,8.7000,0,0,33,0,49.127000
523,8.7167,0,0,36,0,50.508000
524,8.7333,0,0,41,0,51.215000
525,8.7500,0,0,36,0,49.592000
526,8.7667,0,0,36,0,49.696000
527,8.7833,0,0,39,0,50.807000
528,8.8000,0,0,37,0,50.262000
529,8.8167,0,0,34,0,50.272000
530,8.8333,0,0,36,0,49.614000
531,8.8500,0,0,34,0,49.844000
532,8.8667,0,0,37,0,51.888000
